audio_name,dialect,gender,speaker
ViSpeech_00001.mp3,Central,Male,SPK0001
ViSpeech_00002.mp3,Central,Male,SPK0001
ViSpeech_00003.mp3,Central,Male,SPK0001
ViSpeech_00004.mp3,Central,Male,SPK0001
ViSpeech_00005.mp3,Central,Male,SPK0001
ViSpeech_00006.mp3,Central,Male,SPK0001
ViSpeech_00007.mp3,Central,Male,SPK0001
ViSpeech_00008.mp3,Central,Male,SPK0001
ViSpeech_00009.mp3,Central,Male,SPK0001
ViSpeech_00010.mp3,Central,Male,SPK0001
ViSpeech_00011.mp3,Central,Male,SPK0001
ViSpeech_00012.mp3,Central,Male,SPK0001
ViSpeech_00013.mp3,Central,Male,SPK0001
ViSpeech_00014.mp3,Central,Male,SPK0001
ViSpeech_00015.mp3,Central,Male,SPK0001
ViSpeech_00016.mp3,Central,Male,SPK0001
ViSpeech_00017.mp3,Central,Male,SPK0001
ViSpeech_00018.mp3,Central,Male,SPK0001
ViSpeech_00019.mp3,Central,Male,SPK0001
ViSpeech_00020.mp3,Central,Male,SPK0001
ViSpeech_00021.mp3,Central,Male,SPK0001
ViSpeech_00022.mp3,Central,Male,SPK0001
ViSpeech_00023.mp3,Central,Male,SPK0001
ViSpeech_00024.mp3,Central,Male,SPK0001
ViSpeech_00025.mp3,Central,Male,SPK0001
ViSpeech_00026.mp3,Central,Male,SPK0001
ViSpeech_00027.mp3,Central,Male,SPK0001
ViSpeech_00028.mp3,Central,Male,SPK0001
ViSpeech_00029.mp3,Central,Male,SPK0001
ViSpeech_00030.mp3,Central,Male,SPK0001
ViSpeech_00031.mp3,Central,Male,SPK0001
ViSpeech_00032.mp3,Central,Male,SPK0001
ViSpeech_00033.mp3,Central,Male,SPK0001
ViSpeech_00034.mp3,Central,Male,SPK0001
ViSpeech_00035.mp3,Central,Male,SPK0001
ViSpeech_00036.mp3,North,Female,SPK0002
ViSpeech_00037.mp3,North,Female,SPK0002
ViSpeech_00038.mp3,North,Female,SPK0002
ViSpeech_00039.mp3,North,Female,SPK0002
ViSpeech_00040.mp3,North,Female,SPK0002
ViSpeech_00041.mp3,North,Female,SPK0002
ViSpeech_00042.mp3,North,Female,SPK0002
ViSpeech_00043.mp3,South,Male,SPK0003
ViSpeech_00044.mp3,South,Male,SPK0003
ViSpeech_00045.mp3,South,Male,SPK0003
ViSpeech_00046.mp3,South,Male,SPK0003
ViSpeech_00047.mp3,South,Male,SPK0003
ViSpeech_00048.mp3,South,Male,SPK0003
ViSpeech_00049.mp3,South,Male,SPK0003
ViSpeech_00050.mp3,South,Male,SPK0003
ViSpeech_00051.mp3,South,Male,SPK0003
ViSpeech_00052.mp3,South,Male,SPK0003
ViSpeech_00053.mp3,South,Male,SPK0003
ViSpeech_00054.mp3,North,Male,SPK0004
ViSpeech_00055.mp3,North,Male,SPK0004
ViSpeech_00056.mp3,North,Male,SPK0004
ViSpeech_00057.mp3,North,Male,SPK0004
ViSpeech_00058.mp3,North,Male,SPK0004
ViSpeech_00059.mp3,North,Male,SPK0004
ViSpeech_00060.mp3,North,Male,SPK0004
ViSpeech_00061.mp3,North,Male,SPK0004
ViSpeech_00062.mp3,North,Male,SPK0004
ViSpeech_00063.mp3,North,Male,SPK0004
ViSpeech_00064.mp3,North,Male,SPK0004
ViSpeech_00065.mp3,North,Male,SPK0004
ViSpeech_00066.mp3,North,Male,SPK0004
ViSpeech_00067.mp3,North,Male,SPK0004
ViSpeech_00068.mp3,North,Male,SPK0004
ViSpeech_00069.mp3,North,Male,SPK0004
ViSpeech_00070.mp3,North,Male,SPK0004
ViSpeech_00071.mp3,North,Male,SPK0004
ViSpeech_00072.mp3,North,Male,SPK0004
ViSpeech_00073.mp3,North,Male,SPK0004
ViSpeech_00074.mp3,North,Male,SPK0004
ViSpeech_00075.mp3,North,Male,SPK0004
ViSpeech_00076.mp3,North,Male,SPK0004
ViSpeech_00077.mp3,North,Male,SPK0004
ViSpeech_00078.mp3,North,Male,SPK0004
ViSpeech_00079.mp3,North,Male,SPK0004
ViSpeech_00080.mp3,North,Male,SPK0004
